date,tournament,round,surface,winner,loser,wrank,lrank,odds_winner,odds_loser,pin_winner,pin_loser,max_winner,max_loser
2022-02-25,Abierto Mexicano,Quarterfinals,Hard,Tsitsipas S.,Giron M.,4,59.0,1.22,4.33,1.2,5.16,1.22,5.5
2022-02-25,Chile Open,Quarterfinals,Clay,Ramos-Vinolas A.,Bagnis F.,31,74.0,1.61,2.3,1.6,2.5,1.62,2.55
2022-02-25,Dubai Tennis Championships,Semifinals,Hard,Rublev A.,Hurkacz H.,7,11.0,2.0,1.8,2.0,1.9,2.06,1.9
2022-02-25,Dubai Tennis Championships,Semifinals,Hard,Vesely J.,Shapovalov D.,123,14.0,2.75,1.44,3.08,1.43,3.08,1.49
2022-02-25,Chile Open,Quarterfinals,Clay,Baez S.,Monteiro T.,78,107.0,1.57,2.37,1.63,2.42,1.64,2.44
2022-02-25,Chile Open,Quarterfinals,Clay,Martinez P.,Hanfmann Y.,72,115.0,1.72,2.1,1.93,1.97,1.93,2.19
2022-02-26,Chile Open,Quarterfinals,Clay,Tabilo A.,Kecmanovic M.,113,63.0,1.8,2.0,1.8,2.13,1.88,2.13
2022-02-26,Chile Open,Semifinals,Clay,Martinez P.,Tabilo A.,72,113.0,2.3,1.61,2.37,1.66,2.45,1.71
2022-02-26,Chile Open,Semifinals,Clay,Baez S.,Ramos-Vinolas A.,78,31.0,2.0,1.8,1.99,1.92,2.1,2.0
2022-02-26,Abierto Mexicano,Semifinals,Hard,Nadal R.,Medvedev D.,5,2.0,2.2,1.66,2.18,1.77,2.33,1.77
2022-02-26,Dubai Tennis Championships,The Final,Hard,Rublev A.,Vesely J.,7,123.0,1.33,3.4,1.36,3.44,1.39,3.52
2022-02-26,Abierto Mexicano,Semifinals,Hard,Norrie C.,Tsitsipas S.,12,4.0,2.62,1.5,2.65,1.55,2.74,1.6
2022-02-27,Chile Open,The Final,Clay,Martinez P.,Baez S.,72,78.0,2.2,1.66,2.3,1.69,2.42,1.72
2022-02-27,Abierto Mexicano,The Final,Hard,Nadal R.,Norrie C.,5,12.0,1.16,5.0,1.21,5.02,1.22,5.2
2022-03-10,BNP Paribas Open,1st Round,Hard,Musetti L.,Giron M.,56,55.0,2.3,1.61,2.36,1.67,2.47,1.67
2022-03-10,BNP Paribas Open,1st Round,Hard,Sock J.,Cerundolo J.M.,147,119.0,1.28,3.75,1.33,3.65,1.38,3.75
2022-03-10,BNP Paribas Open,1st Round,Hard,Brooksby J.,Carballes Baena R.,43,73.0,1.12,6.0,1.14,6.96,1.17,7.25
2022-03-10,BNP Paribas Open,1st Round,Hard,Coria F.,Cuevas P.,65,104.0,1.66,2.2,1.71,2.27,1.76,2.35
2022-03-10,BNP Paribas Open,1st Round,Hard,Davidovich Fokina A.,Coric B.,45,167.0,1.25,4.0,1.25,4.48,1.44,4.55
2022-03-10,BNP Paribas Open,1st Round,Hard,Eubanks C.,Cressy M.,157,72.0,2.5,1.53,2.5,1.6,2.5,1.63
2022-03-10,BNP Paribas Open,1st Round,Hard,Mcdonald M.,Fucsovics M.,59,48.0,1.72,2.1,1.79,2.14,2.1,2.15
